Ingredient,Effects
" FENUGREEK, OLEORESIN (TRIGONELLA FOENUM-GRAECUM L.)", FLAVORING AGENT OR ADJUVANT
" FERRIC AMMONIUM CITRATE, BROWN", NUTRIENT SUPPLEMENT
 FERRIC CHLORIDE," ENZYME, FLAVORING AGENT OR ADJUVANT, PROCESSING AID"
 FERRIC CITRATE, NUTRIENT SUPPLEMENT
 FERRIC OXIDE," COLOR OR COLORING ADJUNCT, PROCESSING AID"
 FERRIC PEPTONATE, NUTRIENT SUPPLEMENT
 FERRIC PHOSPHATE, NUTRIENT SUPPLEMENT
 FERRIC PYROPHOSPHATE, NUTRIENT SUPPLEMENT
 FERRIC SODIUM PYROPHOSPHATE,Not Available
 FERRIC SULFATE, FLAVORING AGENT OR ADJUVANT
 FERROCYANIDE SALTS,Not Available
 FERROUS ASCORBATE, NUTRIENT SUPPLEMENT
 FERROUS CARBONATE,Not Available
 FERROUS CITRATE, NUTRIENT SUPPLEMENT
 FERROUS FUMARATE, NUTRIENT SUPPLEMENT
 FERROUS GLUCONATE," COLOR OR COLORING ADJUNCT, NUTRIENT SUPPLEMENT"
 FERROUS LACTATE," COLOR OR COLORING ADJUNCT, NUTRIENT SUPPLEMENT"
 FERROUS L-LACTATE, FLAVORING AGENT OR ADJUVANT
 FERROUS PEPTONATE, NUTRIENT SUPPLEMENT
 FERROUS SULFATE," NUTRIENT SUPPLEMENT, PROCESSING AID, STABILIZER OR THICKENER"
 FICIN," ENZYME, PROCESSING AID"
 FIR (PINE) NEEDLES AND TWIGS (ABIES SIBIRICA LEDEB.), FLAVORING AGENT OR ADJUVANT
" FIR NEEDLES AND TWIGS, OIL (ABIES SPP.)", FLAVORING AGENT OR ADJUVANT
" FISH PROTEIN CONCENTRATE, WHOLE", NUTRIENT SUPPLEMENT
 FISH PROTEIN ISOLATE, NUTRIENT SUPPLEMENT
 FOLIC ACID, NUTRIENT SUPPLEMENT
 FORMALDEHYDE, FUMIGANT
 FORMIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID"
" 2-FORMYL-6,6-DIMETHYLBICYCLO(3.1.1)HEPT-2-ENE", FLAVORING AGENT OR ADJUVANT
 4-FORMYL-2-METHOXYPHENYL 2-HYDROXYPROPANOATE, FLAVORING AGENT OR ADJUVANT
 FULLERS EARTH, PROCESSING AID
 FUNGAL HEMICELLULASE, ENZYME
 FUNGAL PECTINASE, ENZYME
 2-FURANMETHANETHIOL FORMATE, FLAVORING AGENT OR ADJUVANT
 4-((FURANMETHYL)THIO)-2-PENTANONE, FLAVORING AGENT OR ADJUVANT
 FURCELLERAN, PROCESSING AID
" FURCELLERAN, AMMONIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
 FURCELLERAN AND SALTS OF FURCELLERAN," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
" FURCELLERAN, CALCIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
" FURCELLERAN, POTASSIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
" FURCELLERAN, SODIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
 FURFURAL, FLAVORING AGENT OR ADJUVANT
 FURFURAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 FURFURYL ACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 FURFURYL ALCOHOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 FURFURYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 FURFURYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 FURFURYL FORMATE, FLAVORING AGENT OR ADJUVANT
 2-FURFURYLIDENEBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 FURFURYL ISOPROPYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 FURFURYL MERCAPTAN, FLAVORING AGENT OR ADJUVANT
 FURFURYL 3-METHYLBUTANOATE, FLAVORING AGENT OR ADJUVANT
 FURFURYL METHYL ETHER, FLAVORING AGENT OR ADJUVANT
 FURFURYL 2-METHYL-3-FURYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 FURFURYL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 ALPHA-FURFURYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-FURFURYL PENTANOATE, FLAVORING AGENT OR ADJUVANT
 FURFURYL PROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 FURFURYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 N-FURFURYLPYRROLE, FLAVORING AGENT OR ADJUVANT
 FURFURYL THIOACETATE, FLAVORING AGENT OR ADJUVANT
 1-(2-FURFURYLTHIO)PROPANONE, FLAVORING AGENT OR ADJUVANT
 FURFURYL THIOPROPIONATE, FLAVORING AGENT OR ADJUVANT
" 3-(2-FUROYLTHIO)-2,5-DIMETHYLFURAN"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 3-(2-FURYL)ACROLEIN, FLAVORING AGENT OR ADJUVANT
" 1-(2-FURYL)-1,3-BUTANEDIONE",Not Available
 1-(2-FURYL)BUTAN-3-ONE, FLAVORING AGENT OR ADJUVANT
 4-(2-FURYL)-3-BUTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 2-FURYL METHYL KETONE, FLAVORING AGENT OR ADJUVANT
 (2-FURYL)-2-PROPANONE, FLAVORING AGENT OR ADJUVANT
" FUSEL OIL, REFINED", FLAVORING AGENT OR ADJUVANT
 ALPHA-GALACTOSIDASE FROM MORTEIRELLA VINACEAE RAFFINOSEUTILIZER, ENZYME
" GALANGA, GREATER (ALPINIA GALANGA WILLD)", FLAVORING AGENT OR ADJUVANT
 GALANGAL ROOT (ALPINIA SPP.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" GALANGAL ROOT, EXTRACT (ALPINIA SPP.)", FLAVORING AGENT OR ADJUVANT
" GALANGAL ROOT, OIL (ALPINIA SPP.)", FLAVORING AGENT OR ADJUVANT
" GALBANUM, OIL (FERULA SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" GALBANUM, RESIN (FERULA SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 GAMBIR (UNCARIA GAMBIR ROXB.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 GARDENIA GUMMIFERA DISTILLATE, FLAVORING AGENT OR ADJUVANT
 GARLIC, FLAVORING AGENT OR ADJUVANT
 GARLIC EXTRACT, FLAVORING AGENT OR ADJUVANT
" GARLIC, OIL (ALLIUM SATIVUM L.)", FLAVORING AGENT OR ADJUVANT
 GELATIN," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, PROCESSING AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-FINISHING AGENT, TEXTURIZER"
 GELLAN GUM, STABILIZER OR THICKENER
" GENET, ABSOLUTE (SPARTIUM JUNCEUM L.)", FLAVORING AGENT OR ADJUVANT
" GENET, EXTRACT (SPARTIUM JUNCEUM L.)", FLAVORING AGENT OR ADJUVANT
" GENTIAN ROOT, EXTRACT (GENTIANA LUTEA L.)", FLAVORING AGENT OR ADJUVANT
" GENTIAN, STEMLESS (GENTIANA ACAULIS L.)", FLAVORING AGENT OR ADJUVANT
 GERANIC ACID, FLAVORING AGENT OR ADJUVANT
 GERANIOL, FLAVORING AGENT OR ADJUVANT
 GERANIUM (PELARGONIUM SPP.), FLAVORING AGENT OR ADJUVANT
" GERANIUM, EAST INDIAN, EXTRACT (CYMBOPOGON MARTINI STAPF.)", FLAVORING AGENT OR ADJUVANT
" GERANIUM, EAST INDIAN, OIL (CYMBOPOGON MARTINI STAPF.)", FLAVORING AGENT OR ADJUVANT
 GERANIUM EXTRACT (PELARGONIUM SPP.), FLAVORING AGENT OR ADJUVANT
" GERANIUM, OIL (PELARGONIUM SPP.)", FLAVORING AGENT OR ADJUVANT
" GERANIUM, ROSE, OIL (PELARGONIUM GRAVEOLENS L'HER.)", FLAVORING AGENT OR ADJUVANT
 GERANYL ACETATE, FLAVORING AGENT OR ADJUVANT
 GERANYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 GERANYL ACETONE, FLAVORING AGENT OR ADJUVANT
 GERANYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 GERANYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 GERANYL FORMATE, FLAVORING AGENT OR ADJUVANT
 GERANYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 GERANYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 GERANYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 GERANYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 GERANYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 GERANYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 GERANYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 GERANYL VALERATE, FLAVORING AGENT OR ADJUVANT
" GERMANDER, CHAMAEDRYS (TEUCRIUM CHAMAEDRYS L.)", FLAVORING AGENT OR ADJUVANT
" GERMANDER, CHAMAEDRYS, EXTRACT (TEUCRIUM CHAMAEDRYS L.)", FLAVORING AGENT OR ADJUVANT
" GERMANDER, CHAMAEDRYS, EXTRACT SOLID (TEUCRIUM CHAMAEDRYS L.)", FLAVORING AGENT OR ADJUVANT
" GERMANDER, GOLDEN (TEUCRIUM POLIUM L.)", FLAVORING AGENT OR ADJUVANT
" GHATTI, GUM (ANOGEISSUS LATIFOLIA WALL.)"," EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, SOLVENT OR VEHICLE, STABILIZER OR THICKENER"
 GIBBERELLIC ACID & POTASSIUM GIBBERELLATE, MALTING OR FERMENTING AID
 GINGER (ZINGIBER OFFICINALE ROSC.), FLAVORING AGENT OR ADJUVANT
" GINGER, EXTRACT (ZINGIBER OFFICINALE ROSC.)", FLAVORING AGENT OR ADJUVANT
" GINGER, OIL (ZINGIBER OFFICINALE ROSC.)", FLAVORING AGENT OR ADJUVANT
" GINGER, OLEORESIN (ZINGIBER OFFICINALE ROSC.)", FLAVORING AGENT OR ADJUVANT
 D-GLUCONIC ACID, NUTRIENT SUPPLEMENT
 GLUCONO-DELTA LACTONE," CURING OR PICKLING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LEAVENING AGENT, PH CONTROL AGENT, SEQUESTRANT"
 N-GLUCONYL ETHANOLAMINE, FLAVORING AGENT OR ADJUVANT
 N-GLUCONYL ETHANOLAMINE PHOSPHATE, FLAVORING AGENT OR ADJUVANT
 GLUCOSE ISOMERASE FROM BACILLUS COAGULANS, ENZYME
 GLUCOSE ISOMERASE FROM IMMOBILIZED ARTHROBACTER GLOBIFORMIS, ENZYME
 GLUCOSE ISOMERASE FROM STREPTOMYCES OLIVACEUS, ENZYME
 GLUCOSE ISOMERASE FROM STREPTOMYCES OLIVOCHROMOGENES, ENZYME
 GLUCOSE ISOMERASE FROM STREPTOMYCES RUBIGINOSUS, ENZYME
 GLUCOSE OXIDASE CATALASE PREPARATION, ENZYME
 GLUCOSE OXIDASE FROM ASPERGILLUS NIGER, ENZYME
 GLUCOSE OXIDASE FROM PENICILLIUM NOTATUM, ENZYME
 GLUCOSE PENTAACETATE, FLAVORING AGENT OR ADJUVANT
 GLUCOSIDASE FROM ASPERGILLUS FLAVUS, ENZYME
 GLUCOSIDASE FROM ASPERGILLUS NIGER, ENZYME
 GLUCOSIDASE FROM ASPERGILLUS ORYZAE, ENZYME
 L-GLUTAMIC ACID," FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT"
 GLUTAMIC ACID HYDROCHLORIDE," FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 L-GLUTAMINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 GAMMA-GLUTAMYL-VALYL-GLYCINE, FLAVORING AGENT OR ADJUVANT
 GLUTARALDEHYDE, OXIDIZING OR REDUCING AGENT
" GLUTEN, GUM", NUTRIENT SUPPLEMENT
 GLYCERIN," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, MASTICATORY SUBSTANCE, NUTRITIVE SWEETENER, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
" GLYCERIN, SYNTHETIC"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, HUMECTANT, MASTICATORY SUBSTANCE, NUTRITIVE SWEETENER, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, TEXTURIZER"
 GLYCEROL TRIBUTYRATE," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 GLYCERYL BEHENATE, FORMULATION AID
 GLYCERYL 5-HYDROXYDECANOATE, FLAVORING AGENT OR ADJUVANT
 GLYCERYL 5-HYDROXYDODECANOATE, FLAVORING AGENT OR ADJUVANT
 GLYCERYL-LACTO ESTERS OF FATTY ACIDS, EMULSIFIER OR EMULSIFIER SALT
 GLYCERYL LACTOOLEATE," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 GLYCERYL LACTOPALMITATE," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 GLYCERYL MONOOLEATE," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, HUMECTANT"
 GLYCERYL MONOSTEARATE," EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLAVOR ENHANCER, LUBRICANT OR RELEASE AGENT, MASTICATORY SUBSTANCE, TEXTURIZER"
 GLYCERYL PALMITOSTEARATE, FORMULATION AID
 GLYCERYL TRIBENZOATE, FLAVORING AGENT OR ADJUVANT
 GLYCERYL TRIPROPANOATE," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 GLYCERYL TRISTEARATE," FORMULATION AID, LUBRICANT OR RELEASE AGENT, SURFACE-FINISHING AGENT"
 GLYCINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 GLYCOCHOLIC ACID, PH CONTROL AGENT
" GLYCYRRHIZIN, AMMONIATED (GLYCYRRHIZA SPP.)", FLAVORING AGENT OR ADJUVANT
 GRAINS OF PARADISE (AFRAMOMUM MELEGUETA (ROSC.) K. SCHUM.), FLAVORING AGENT OR ADJUVANT
 GRAPE COLOR EXTRACT, COLOR OR COLORING ADJUNCT
" GRAPE ESSENCE, NATURAL", FLAVORING AGENT OR ADJUVANT
" GRAPEFRUIT ESSENCE, NATURAL", FLAVORING AGENT OR ADJUVANT
" GRAPEFRUIT, EXTRACT",Not Available
" GRAPEFRUIT, JUICE",Not Available
" GRAPEFRUIT, OIL (CITRUS PARADISI MACF.)", FLAVORING AGENT OR ADJUVANT
" GRAPEFRUIT OIL, CONC.", FLAVORING AGENT OR ADJUVANT
" GRAPEFRUIT, OIL, TERPENELESS (CITRUS PARADISI)",Not Available
 GRAPE SEED EXTRACT, FLAVORING AGENT OR ADJUVANT
 GRAPE SKIN EXTRACT," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 GROUND LIMESTONE,Not Available
 GUAIAC GUM (GUAIACUM SPP.)," ANTIOXIDANT, FLAVORING AGENT OR ADJUVANT"
" GUAIAC GUM, EXTRACT (GUAIACUM SPP.)", FLAVORING AGENT OR ADJUVANT
 GUAIACOL, FLAVORING AGENT OR ADJUVANT
 GUAIACOL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 GUAIACOL PROPIONATE, FLAVORING AGENT OR ADJUVANT
" GUAIAC WOOD, EXTRACT (GUAIACUM SPP.)", FLAVORING AGENT OR ADJUVANT
" GUAIAC WOOD, OIL (GUAIACUM SPP.)", FLAVORING AGENT OR ADJUVANT
 GUAIACYL ACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 GUAIACYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 GUAIACYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 GUAIENE, FLAVORING AGENT OR ADJUVANT
 GUAIOL ACETATE, FLAVORING AGENT OR ADJUVANT
" GUARANA, GUM (PAULLINIA CUPANA HBK)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" GUARANA SEED, EXTRACT", FLAVORING AGENT OR ADJUVANT
 GUAVA (PSIDIUM SPP.), FLAVORING AGENT OR ADJUVANT
 GUAVA EXTRACT,Not Available
" GUM ARABIC, HYDROGEN OCTENYLBUTANE DIOATE"," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 GUTTA HANG KANG (PALAQUIUM LEIOCARPUM BOERL. AND P. OBLONGIFOLIUM BURCK.), MASTICATORY SUBSTANCE
 HAEMATOCOCCUS ALGAE MEAL, COLOR OR COLORING ADJUNCT
" HAW BARK, BLACK, EXTRACT (VIBURNUM PRUNIFOLIUM L.)", FLAVORING AGENT OR ADJUVANT
 HELIOPSIS LONGIPES EXTRACT, FLAVORING AGENT OR ADJUVANT
 HELIUM, PROCESSING AID
 HEMLOCK (TSUGA SPP.), FLAVORING AGENT OR ADJUVANT
" HEMLOCK NEEDLES AND TWIGS, OIL (TSUGA SPP.)", FLAVORING AGENT OR ADJUVANT
" 2,4-HEPTADIENAL", FLAVORING AGENT OR ADJUVANT
 TRANS-2-TRANS-4-HEPTADIEN-1-OL, FLAVORING AGENT OR ADJUVANT
 GAMMA-HEPTALACTONE, FLAVORING AGENT OR ADJUVANT
 HEPTANAL, FLAVORING AGENT OR ADJUVANT
 HEPTANAL DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
" HEPTANAL GLYCERYL ACETAL (MIXED 1,2 AND 1,3 ACETALS)", FLAVORING AGENT OR ADJUVANT
 HEPTANAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
" 2,3-HEPTANEDIONE", FLAVORING AGENT OR ADJUVANT
 HEPTANE-1-THIOL, FLAVORING AGENT OR ADJUVANT
 2-HEPTANETHIOL, FLAVORING AGENT OR ADJUVANT
 HEPTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 2-HEPTANOL, FLAVORING AGENT OR ADJUVANT
 3-HEPTANOL, FLAVORING AGENT OR ADJUVANT
 2-HEPTANONE, FLAVORING AGENT OR ADJUVANT
 3-HEPTANONE, FLAVORING AGENT OR ADJUVANT
 4-HEPTANONE, FLAVORING AGENT OR ADJUVANT
" N-(HEPTAN-4-YL)BENZO[D][1,3]DIOXOLE-5-CARBOXAMIDE", FLAVORING AGENT OR ADJUVANT
 2-HEPTENAL, FLAVORING AGENT OR ADJUVANT
 4-HEPTENAL DIETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEPTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 (+/-)-1-HEPTEN-3-OL, FLAVORING AGENT OR ADJUVANT
 (Z)-4-HEPTEN-1-OL, FLAVORING AGENT OR ADJUVANT
 2-HEPTEN-4-ONE, FLAVORING AGENT OR ADJUVANT
 3-HEPTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 HEPT-TRANS-2-EN-1-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 HEPT-2-EN-1-YL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 TRANS-3-HEPTENYL 2-METHYLPROPANOATE, FLAVORING AGENT OR ADJUVANT
 HEPTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 3-HEPTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 HEPTYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 HEPTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-HEPTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 HEPTYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 CIS- AND TRANS-2-HEPTYLCYCLOPROPANECARBOXYLIC ACID, FLAVORING AGENT OR ADJUVANT
 3-HEPTYLDIHYDRO-5-METHYL-2(3H)-FURANONE, FLAVORING AGENT OR ADJUVANT
 HEPTYL FORMATE, FLAVORING AGENT OR ADJUVANT
 2-HEPTYLFURAN, FLAVORING AGENT OR ADJUVANT
 HEPTYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 HEPTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 HEPTYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 HEPTYLPARABEN, ANTIOXIDANT
 HESPERIDIN, FLAVOR ENHANCER
 DELTA-HEXADECALACTONE, FLAVORING AGENT OR ADJUVANT
 OMEGA-6-HEXADECENLACTONE, FLAVORING AGENT OR ADJUVANT
 HEXADECYL LACTATE, FLAVORING AGENT OR ADJUVANT
" TRANS, TRANS-2,4-HEXADIENAL", FLAVORING AGENT OR ADJUVANT
" 2,4-HEXADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
" 2,4-HEXADIENYL ACETATE", FLAVORING AGENT OR ADJUVANT
" 2,4-HEXADIENYL BUTYRATE", FLAVORING AGENT OR ADJUVANT
" 2,4-HEXADIENYL ISOBUTYRATE", FLAVORING AGENT OR ADJUVANT
" 2,4-HEXADIENYL PROPIONATE", FLAVORING AGENT OR ADJUVANT
 DELTA-HEXALACTONE, FLAVORING AGENT OR ADJUVANT
 GAMMA-HEXALACTONE, FLAVORING AGENT OR ADJUVANT
 HEXANAL, FLAVORING AGENT OR ADJUVANT
" HEXANAL BUTANE-2,3-DIOL ACETAL", FLAVORING AGENT OR ADJUVANT
 HEXANAL DIHEXYL ACETAL, FLAVORING AGENT OR ADJUVANT
 HEXANAL HEXYL ISOAMYL ACETAL, FLAVORING AGENT OR ADJUVANT
" HEXANAL OCTANE-1,3-DIOL ACETAL", FLAVORING AGENT OR ADJUVANT
 HEXANE, SOLVENT OR VEHICLE
" 2,3-HEXANEDIONE", FLAVORING AGENT OR ADJUVANT
" 3,4-HEXANEDIONE", FLAVORING AGENT OR ADJUVANT
" 1,6-HEXANEDITHIOL"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 1-HEXANETHIOL, FLAVORING AGENT OR ADJUVANT
 HEXANOIC ACID, FLAVORING AGENT OR ADJUVANT
 3-HEXANOL, FLAVORING AGENT OR ADJUVANT
 3-HEXANONE, FLAVORING AGENT OR ADJUVANT
 2-HEXENAL, FLAVORING AGENT OR ADJUVANT
 3-HEXENAL, FLAVORING AGENT OR ADJUVANT
 CIS-3-HEXENAL, FLAVORING AGENT OR ADJUVANT
 TRANS-3-HEXENAL, FLAVORING AGENT OR ADJUVANT
 CIS-4-HEXENAL, FLAVORING AGENT OR ADJUVANT
 TRANS-4-HEXENAL, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENAL DIETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 (+/-)-TRANS- AND CIS-2-HEXENAL GLYCERYL ACETAL, FLAVORING AGENT OR ADJUVANT
 4-HEXENE-3-ONE, FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL (E)-2-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 TRANS-2-HEXENOIC ACID, FLAVORING AGENT OR ADJUVANT
 3-HEXENOIC ACID, FLAVORING AGENT OR ADJUVANT
 1-HEXEN-3-OL, FLAVORING AGENT OR ADJUVANT
 2-HEXEN-1-OL, FLAVORING AGENT OR ADJUVANT
 (Z)-2-HEXEN-1-OL, FLAVORING AGENT OR ADJUVANT
 4-HEXEN-1-OL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 5-HEXENOL, FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 CIS-3-HEXENYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
" 3-HEXENYL CROTONATE, CIS-", FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENYL FORMATE, FLAVORING AGENT OR ADJUVANT
" 2-HEXENYL HEXANOATE, TRANS-", FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 5-HEXENYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 3-HEXENYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 CIS-3-HEXENYL LACTATE, FLAVORING AGENT OR ADJUVANT
 3-HEXENYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-HEXENYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 3-HEXENYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 CIS-3 & TRANS-2-HEXENYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL PYRUVATE, FLAVORING AGENT OR ADJUVANT
 (E)-2-HEXENYL VALERATE, FLAVORING AGENT OR ADJUVANT
 (Z)-3-HEXENYL VALERATE, FLAVORING AGENT OR ADJUVANT
 HEXYL ACETATE, FLAVORING AGENT OR ADJUVANT
 2-HEXYL-4-ACETOXYTETRAHYDROFURAN, FLAVORING AGENT OR ADJUVANT
 HEXYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 HEXYLAMINE, FLAVORING AGENT OR ADJUVANT
 HEXYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 N-HEXYL 2-BUTENOATE, FLAVORING AGENT OR ADJUVANT
 HEXYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-HEXYLCINNAMALDEHYDE, FLAVORING AGENT OR ADJUVANT
 HEXYL DECANOATE, FLAVORING AGENT OR ADJUVANT
" 2-HEXYL-4,5-DIMETHYL-1,3-DIOXOLANE", FLAVORING AGENT OR ADJUVANT
 HEXYL FORMATE, FLAVORING AGENT OR ADJUVANT
 HEXYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 HEXYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 HEXYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 HEXYL TRANS-2-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 2-HEXYLIDENE CYCLOPENTANONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-HEXYLIDENEHEXANAL, FLAVORING AGENT OR ADJUVANT
 HEXYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 HEXYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 HEXYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
" 2-HEXYL-5 OR 6-KETO-1,4-DIOXANE", FLAVORING AGENT OR ADJUVANT
 HEXYL 3-MERCAPTOBUTANOATE, FLAVORING AGENT OR ADJUVANT
 HEXYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
